scenario,status,bracket,br_bot,br_top,capgains
Base,Single,1,0,9525,0
Base,Single,2,9525,38700,0
Base,Single,3,38700,93700,0.15
Base,Single,4,93700,195450,0.15
Base,Single,5,195450,424950,0.15
Base,Single,6,424950,426700,0.15
Base,Single,7,426700,10000000000000,0.2
Base,Married Filing Jointly,1,0,19050,0
Base,Married Filing Jointly,2,19050,77400,0
Base,Married Filing Jointly,3,77400,156150,0.15
Base,Married Filing Jointly,4,156150,237950,0.15
Base,Married Filing Jointly,5,237950,424950,0.15
Base,Married Filing Jointly,6,424950,480050,0.15
Base,Married Filing Jointly,7,480050,10000000000000,0.2
Base,Head of Household,1,0,13600,0
Base,Head of Household,2,13600,51850,0
Base,Head of Household,3,51850,133850,0.15
Base,Head of Household,4,133850,216700,0.15
Base,Head of Household,5,216700,424950,0.15
Base,Head of Household,6,424950,453350,0.15
Base,Head of Household,7,453350,10000000000000,0.2
Base,Married Filing Separately,1,0,9525,0
Base,Married Filing Separately,2,9525,38700,0
Base,Married Filing Separately,3,38700,78050,0.15
Base,Married Filing Separately,4,78050,118950,0.15
Base,Married Filing Separately,5,118950,212450,0.15
Base,Married Filing Separately,6,212450,240025,0.15
Base,Married Filing Separately,7,240025,10000000000000,0.2
Alt,Single,1,0,38600,0
Alt,Single,2,38600,425800,0.15
Alt,Single,3,425800,10000000000000,0.2
Alt,Married Filing Jointly,1,0,77200,0
Alt,Married Filing Jointly,2,77200,479000,0.15
Alt,Married Filing Jointly,3,479000,10000000000000,0.2
Alt,Head of Household,1,0,51700,0
Alt,Head of Household,2,51700,452400,0.15
Alt,Head of Household,3,452400,10000000000000,0.2
Alt,Married Filing Separately,1,0,38600,0
Alt,Married Filing Separately,2,38600,239500,0.15
Alt,Married Filing Separately,3,239500,10000000000000,0.2
